===== [Pε] Execução 1 / 5 =====

[GVNS-Pe(eps=7.29)] Iter 0: Novo melhor! F=986.0000 (f1=986.00, f2=7.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.29)] Iter 0: Novo melhor! F=982.0000 (f1=982.00, f2=7.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=7.29)] Iter 0: Novo melhor! F=956.0000 (f1=956.00, f2=7.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.29)] Iter 7: Novo melhor! F=942.0000 (f1=942.00, f2=6.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.29)] Iter 11: Novo melhor! F=927.0000 (f1=927.00, f2=7.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.29)] Iter 26: Novo melhor! F=916.0000 (f1=916.00, f2=7.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=7.29)] Iter 92: Novo melhor! F=905.0000 (f1=905.00, f2=7.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=7.29)] Iter 95: Novo melhor! F=903.0000 (f1=903.00, f2=7.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.29)] Fim. Melhor F=903.0000 (f1=903.00, f2=7.00, P_cap=0.00)

[GVNS-Pe(eps=9.71)] Solução inicial: F=972184.1429 (f1=927.00, f2=38.00, P_cap=688400.00)
[GVNS-Pe(eps=9.71)] Iter 0: Novo melhor! F=944.0000 (f1=944.00, f2=8.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.71)] Iter 0: Novo melhor! F=937.0000 (f1=937.00, f2=9.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.71)] Iter 2: Novo melhor! F=936.0000 (f1=936.00, f2=8.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=9.71)] Iter 5: Novo melhor! F=928.0000 (f1=928.00, f2=4.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=9.71)] Iter 5: Novo melhor! F=924.0000 (f1=924.00, f2=9.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=9.71)] Iter 11: Novo melhor! F=916.0000 (f1=916.00, f2=9.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=9.71)] Iter 15: Novo melhor! F=913.0000 (f1=913.00, f2=9.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.71)] Iter 15: Novo melhor! F=908.0000 (f1=908.00, f2=9.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=9.71)] Fim. Melhor F=908.0000 (f1=908.00, f2=9.00, P_cap=0.00)

[GVNS-Pe(eps=12.14)] Solução inicial: F=901904.4286 (f1=933.00, f2=43.00, P_cap=592400.00)
[GVNS-Pe(eps=12.14)] Iter 0: Novo melhor! F=903.0000 (f1=903.00, f2=12.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=12.14)] Fim. Melhor F=903.0000 (f1=903.00, f2=12.00, P_cap=0.00)

[GVNS-Pe(eps=14.57)] Solução inicial: F=1203625.7143 (f1=940.00, f2=32.00, P_cap=1028400.00)
[GVNS-Pe(eps=14.57)] Iter 0: Novo melhor! F=952.0000 (f1=952.00, f2=13.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=14.57)] Iter 0: Novo melhor! F=916.0000 (f1=916.00, f2=13.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=14.57)] Iter 1: Novo melhor! F=912.0000 (f1=912.00, f2=14.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=14.57)] Iter 9: Novo melhor! F=909.0000 (f1=909.00, f2=12.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=14.57)] Iter 11: Novo melhor! F=908.0000 (f1=908.00, f2=11.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=14.57)] Iter 65: Novo melhor! F=904.0000 (f1=904.00, f2=14.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=14.57)] Fim. Melhor F=904.0000 (f1=904.00, f2=14.00, P_cap=0.00)

[GVNS-Pe(eps=17.00)] Solução inicial: F=774529.0000 (f1=929.00, f2=31.00, P_cap=633600.00)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=991.0000 (f1=991.00, f2=17.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=966.0000 (f1=966.00, f2=14.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=937.0000 (f1=937.00, f2=14.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=17.00)] Iter 0: Novo melhor! F=916.0000 (f1=916.00, f2=13.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=17.00)] Iter 6: Novo melhor! F=915.0000 (f1=915.00, f2=16.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=17.00)] Iter 8: Novo melhor! F=902.0000 (f1=902.00, f2=17.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=17.00)] Fim. Melhor F=902.0000 (f1=902.00, f2=17.00, P_cap=0.00)

===== [Pε] Execução 2 / 5 =====

[GVNS-Pe(eps=0.00)] Solução inicial: F=1293740.0000 (f1=940.00, f2=48.00, P_cap=812800.00)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=47229.0000 (f1=1229.00, f2=1.00, P_cap=36000.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=47177.0000 (f1=1177.00, f2=2.00, P_cap=26000.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 0: Novo melhor! F=1212.0000 (f1=1212.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=0.00)] Iter 4: Novo melhor! F=1199.0000 (f1=1199.00, f2=0.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=0.00)] Iter 9: Novo melhor! F=1181.0000 (f1=1181.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=0.00)] Iter 11: Novo melhor! F=1176.0000 (f1=1176.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=0.00)] Iter 64: Novo melhor! F=1173.0000 (f1=1173.00, f2=0.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=0.00)] Iter 105: Novo melhor! F=1168.0000 (f1=1168.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=0.00)] Iter 109: Novo melhor! F=1106.0000 (f1=1106.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 166: Novo melhor! F=1075.0000 (f1=1075.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=0.00)] Iter 249: Novo melhor! F=1052.0000 (f1=1052.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=0.00)] Fim. Melhor F=1052.0000 (f1=1052.00, f2=0.00, P_cap=0.00)

[GVNS-Pe(eps=2.43)] Solução inicial: F=823427.2857 (f1=913.00, f2=39.00, P_cap=456800.00)
[GVNS-Pe(eps=2.43)] Iter 0: Novo melhor! F=1176.0000 (f1=1176.00, f2=2.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=2.43)] Iter 1: Novo melhor! F=1146.0000 (f1=1146.00, f2=2.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=2.43)] Iter 6: Novo melhor! F=1121.0000 (f1=1121.00, f2=2.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=2.43)] Iter 6: Novo melhor! F=1067.0000 (f1=1067.00, f2=2.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=2.43)] Iter 9: Novo melhor! F=1057.0000 (f1=1057.00, f2=2.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=2.43)] Iter 11: Novo melhor! F=1041.0000 (f1=1041.00, f2=2.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=2.43)] Iter 42: Novo melhor! F=1022.0000 (f1=1022.00, f2=2.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=2.43)] Iter 44: Novo melhor! F=1019.0000 (f1=1019.00, f2=2.00, P_cap=0.00) (k=3)
