[GVNS-Pw(w1=1.00,w2=0.00)] Solução inicial: F=713600.0897 (f1=933.00, f2=36.00, P_cap=713600.00)
[GVNS-Pw(w1=1.00,w2=0.00)] Iter 0: Novo melhor! F=0.0534 (f1=916.00, f2=18.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=1.00,w2=0.00)] Iter 0: Novo melhor! F=0.0491 (f1=914.00, f2=23.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=1.00,w2=0.00)] Iter 0: Novo melhor! F=0.0278 (f1=904.00, f2=43.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=1.00,w2=0.00)] Iter 0: Novo melhor! F=0.0214 (f1=901.00, f2=34.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=1.00,w2=0.00)] Iter 0: Novo melhor! F=0.0085 (f1=895.00, f2=24.00, P_cap=0.00) (k=5)
[GVNS-Pw(w1=1.00,w2=0.00)] Iter 5: Novo melhor! F=0.0043 (f1=893.00, f2=29.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=1.00,w2=0.00)] Iter 27: Novo melhor! F=0.0000 (f1=891.00, f2=23.00, P_cap=0.00) (k=5)
[GVNS-Pw(w1=1.00,w2=0.00)] Fim. Melhor F=0.0000 (f1=891.00, f2=23.00, P_cap=0.00)

===== [Pw] Execução 3 / 5 =====

[GVNS-Pw(w1=0.00,w2=1.00)] Solução inicial: F=1.2778 (f1=1329.00, f2=23.00, P_cap=0.00)
[GVNS-Pw(w1=0.00,w2=1.00)] Iter 0: Novo melhor! F=0.0556 (f1=1394.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.00,w2=1.00)] Iter 1: Novo melhor! F=0.0000 (f1=1352.00, f2=0.00, P_cap=0.00) (k=3)
[GVNS-Pw(w1=0.00,w2=1.00)] Fim. Melhor F=0.0000 (f1=1352.00, f2=0.00, P_cap=0.00)

[GVNS-Pw(w1=0.10,w2=0.90)] Solução inicial: F=1.0199 (f1=1218.00, f2=19.00, P_cap=0.00)
[GVNS-Pw(w1=0.10,w2=0.90)] Iter 0: Novo melhor! F=0.1179 (f1=1209.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.10,w2=0.90)] Iter 0: Novo melhor! F=0.1167 (f1=1203.00, f2=1.00, P_cap=0.00) (k=3)
[GVNS-Pw(w1=0.10,w2=0.90)] Iter 0: Novo melhor! F=0.0720 (f1=1228.00, f2=0.00, P_cap=0.00) (k=3)
[GVNS-Pw(w1=0.10,w2=0.90)] Iter 0: Novo melhor! F=0.0573 (f1=1159.00, f2=0.00, P_cap=0.00) (k=4)
[GVNS-Pw(w1=0.10,w2=0.90)] Iter 2: Novo melhor! F=0.0545 (f1=1146.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.10,w2=0.90)] Iter 15: Novo melhor! F=0.0494 (f1=1122.00, f2=0.00, P_cap=0.00) (k=4)
[GVNS-Pw(w1=0.10,w2=0.90)] Iter 23: Novo melhor! F=0.0491 (f1=1121.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.10,w2=0.90)] Iter 75: Novo melhor! F=0.0489 (f1=1120.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.10,w2=0.90)] Iter 113: Novo melhor! F=0.0466 (f1=1109.00, f2=0.00, P_cap=0.00) (k=5)
[GVNS-Pw(w1=0.10,w2=0.90)] Iter 115: Novo melhor! F=0.0432 (f1=1093.00, f2=0.00, P_cap=0.00) (k=5)
[GVNS-Pw(w1=0.10,w2=0.90)] Iter 149: Novo melhor! F=0.0374 (f1=1066.00, f2=0.00, P_cap=0.00) (k=5)
[GVNS-Pw(w1=0.10,w2=0.90)] Iter 198: Novo melhor! F=0.0368 (f1=1063.00, f2=0.00, P_cap=0.00) (k=5)
[GVNS-Pw(w1=0.10,w2=0.90)] Iter 202: Novo melhor! F=0.0340 (f1=1050.00, f2=0.00, P_cap=0.00) (k=5)
[GVNS-Pw(w1=0.10,w2=0.90)] Iter 217: Novo melhor! F=0.0333 (f1=1047.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.10,w2=0.90)] Fim. Melhor F=0.0333 (f1=1047.00, f2=0.00, P_cap=0.00)

[GVNS-Pw(w1=0.20,w2=0.80)] Solução inicial: F=1.1923 (f1=1081.00, f2=25.00, P_cap=0.00)
[GVNS-Pw(w1=0.20,w2=0.80)] Iter 0: Novo melhor! F=0.1615 (f1=1165.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.20,w2=0.80)] Iter 0: Novo melhor! F=0.0940 (f1=1111.00, f2=0.00, P_cap=0.00) (k=4)
[GVNS-Pw(w1=0.20,w2=0.80)] Iter 18: Novo melhor! F=0.0880 (f1=1097.00, f2=0.00, P_cap=0.00) (k=4)
[GVNS-Pw(w1=0.20,w2=0.80)] Iter 19: Novo melhor! F=0.0825 (f1=1084.00, f2=0.00, P_cap=0.00) (k=4)
[GVNS-Pw(w1=0.20,w2=0.80)] Iter 26: Novo melhor! F=0.0765 (f1=1070.00, f2=0.00, P_cap=0.00) (k=5)
[GVNS-Pw(w1=0.20,w2=0.80)] Fim. Melhor F=0.0765 (f1=1070.00, f2=0.00, P_cap=0.00)

[GVNS-Pw(w1=0.30,w2=0.70)] Solução inicial: F=0.5972 (f1=1034.00, f2=13.00, P_cap=0.00)
[GVNS-Pw(w1=0.30,w2=0.70)] Iter 0: Novo melhor! F=0.2412 (f1=1146.00, f2=2.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.30,w2=0.70)] Iter 0: Novo melhor! F=0.2186 (f1=1232.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.30,w2=0.70)] Iter 0: Novo melhor! F=0.1985 (f1=1140.00, f2=1.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.30,w2=0.70)] Iter 0: Novo melhor! F=0.1833 (f1=1177.00, f2=0.00, P_cap=0.00) (k=4)
[GVNS-Pw(w1=0.30,w2=0.70)] Iter 0: Novo melhor! F=0.1532 (f1=1130.00, f2=0.00, P_cap=0.00) (k=3)
[GVNS-Pw(w1=0.30,w2=0.70)] Iter 7: Novo melhor! F=0.1237 (f1=1084.00, f2=0.00, P_cap=0.00) (k=4)
[GVNS-Pw(w1=0.30,w2=0.70)] Iter 84: Novo melhor! F=0.1167 (f1=1073.00, f2=0.00, P_cap=0.00) (k=2)
[GVNS-Pw(w1=0.30,w2=0.70)] Iter 182: Novo melhor! F=0.0981 (f1=1044.00, f2=0.00, P_cap=0.00) (k=5)
[GVNS-Pw(w1=0.30,w2=0.70)] Iter 273: Novo melhor! F=0.0910 (f1=1033.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.30,w2=0.70)] Iter 340: Novo melhor! F=0.0885 (f1=1029.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.30,w2=0.70)] Iter 437: Novo melhor! F=0.0744 (f1=1007.00, f2=0.00, P_cap=0.00) (k=5)
[GVNS-Pw(w1=0.30,w2=0.70)] Iter 535: Novo melhor! F=0.0686 (f1=998.00, f2=0.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.30,w2=0.70)] Iter 549: Novo melhor! F=0.0622 (f1=988.00, f2=0.00, P_cap=0.00) (k=5)
[GVNS-Pw(w1=0.30,w2=0.70)] Fim. Melhor F=0.0622 (f1=988.00, f2=0.00, P_cap=0.00)

[GVNS-Pw(w1=0.40,w2=0.60)] Solução inicial: F=176001.4940 (f1=923.00, f2=44.00, P_cap=176000.00)
[GVNS-Pw(w1=0.40,w2=0.60)] Iter 0: Novo melhor! F=0.2145 (f1=1064.00, f2=2.00, P_cap=0.00) (k=1)
[GVNS-Pw(w1=0.40,w2=0.60)] Iter 0: Novo melhor! F=0.1607 (f1=1079.00, f2=0.00, P_cap=0.00) (k=1)
