run,alt,f1,f2,pen_cap,epsilon,solucao,f3_robustez,f4_estabilidade
1,1,1128.0,0.0,0.0,0.0,"0,1,1,3,2,2,3,0,0,0,1,4,2,3,3,0,1,4,0,2,1,4,3,3,0,4,4,2,3,3,3,2,4,3,2,4,0,1,1,0,1,3,1,4,4,2,2,0,2,4",0.09469251845308785,1.6094379124341005
1,2,1074.0,1.0,0.0,1.8888888888888888,"0,1,4,3,2,2,0,4,3,0,1,3,2,2,3,0,0,4,4,2,1,3,0,3,4,2,1,4,3,3,3,2,0,3,1,4,1,0,3,0,3,4,1,4,0,2,4,0,2,1",0.08976288302189925,1.6094273457155066
1,3,980.0,2.0,0.0,3.7777777777777777,"0,1,0,3,2,2,2,4,3,0,1,3,2,3,3,0,0,4,1,2,1,4,3,1,0,2,4,1,0,3,3,2,4,3,2,4,1,0,4,4,0,0,3,4,4,2,4,0,2,1",0.09611780229982823,1.609412918111112
1,4,935.0,5.0,0.0,5.666666666666666,"0,1,0,3,2,2,3,4,3,0,1,2,2,3,4,0,4,4,1,2,1,4,0,1,3,3,4,1,3,3,4,0,0,3,0,4,1,0,3,2,2,0,3,4,4,2,4,0,2,1",0.07930751832733993,1.6092757577261805
1,5,914.0,7.0,0.0,7.555555555555555,"0,2,0,3,2,2,0,4,3,0,1,4,2,3,4,0,4,4,1,2,1,4,3,1,2,2,4,2,3,3,3,0,4,3,0,4,1,0,3,1,1,0,3,4,4,2,4,0,2,3",0.060087790874109204,1.6091335619843292
1,6,902.0,8.0,0.0,9.444444444444445,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,2,0,1,4,4,2,4,0,2,3",0.06302172079062328,1.6090172118961488
1,7,902.0,8.0,0.0,13.22222222222222,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,2,0,1,4,4,2,4,0,2,3",0.06302172079062328,1.6090172118961488
1,8,900.0,14.0,0.0,15.11111111111111,"0,1,0,3,2,2,3,4,3,0,1,2,2,3,4,0,4,4,0,2,1,4,3,1,2,3,4,2,3,3,3,0,0,3,0,4,1,1,1,4,1,0,1,4,4,2,4,0,2,3",0.06269603891102016,1.6085850196785194
1,9,896.0,16.0,0.0,17.0,"0,2,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,0,3,2,4,1,0,1,1,4,0,1,4,4,2,4,0,2,3",0.0417173123396548,1.608083818051726
2,1,1059.0,0.0,0.0,0.0,"0,2,0,3,2,2,2,4,3,3,1,3,1,4,4,0,4,4,0,2,1,4,2,3,3,3,4,1,0,3,3,0,0,3,0,4,0,1,1,4,2,1,1,4,4,2,0,2,2,3",0.09469251845308785,1.6094379124341005
2,2,1004.0,2.0,0.0,3.7777777777777777,"0,1,0,3,2,0,3,4,3,3,0,2,2,3,3,0,3,4,4,2,1,4,3,1,0,2,4,2,3,3,3,2,4,3,0,4,1,4,0,1,2,0,1,4,4,2,4,0,2,1",0.0829529221936069,1.609410111545084
2,3,921.0,5.0,0.0,5.666666666666666,"0,1,4,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,3,2,3,4,2,3,3,3,0,0,3,0,4,1,0,1,4,3,0,1,4,2,2,4,0,2,1",0.0782795859721774,1.609248805521788
2,4,911.0,9.0,0.0,9.444444444444445,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,3,1,3,3,4,2,3,3,3,0,4,3,2,4,1,1,1,4,2,0,1,4,2,2,4,0,2,1",0.05923279550567249,1.6088224340491477
2,5,907.0,10.0,0.0,11.333333333333332,"0,1,4,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,2,4,2,3,3,3,0,0,3,0,4,1,0,1,1,4,0,3,4,2,2,4,0,2,3",0.05035173811589909,1.6090077276291688
2,6,900.0,12.0,0.0,13.22222222222222,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,0,4,1,2,0,1,4,2,2,4,0,2,3",0.04563070802673949,1.6087998790827371
2,7,900.0,12.0,0.0,17.0,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,0,4,1,2,0,1,4,2,2,4,0,2,3",0.04563070802673949,1.6087998790827371
3,1,1158.0,0.0,0.0,0.0,"4,1,0,3,1,1,3,4,2,0,1,3,2,4,4,0,4,4,2,2,1,4,0,1,0,1,2,2,3,3,3,2,0,1,0,3,0,0,3,4,0,0,3,4,4,2,0,1,4,3",0.09469251845308785,1.6094379124341005
3,2,1089.0,1.0,0.0,1.8888888888888888,"0,1,4,3,3,2,3,4,3,3,1,2,2,3,3,0,2,4,2,0,1,4,0,1,3,4,4,1,0,3,4,0,0,3,0,4,0,1,1,4,0,0,1,4,0,2,2,0,2,1",0.09814652500599405,1.6094271445761152
3,3,966.0,2.0,0.0,3.7777777777777777,"0,1,1,3,2,2,1,4,3,0,1,2,2,3,4,0,4,4,1,2,1,4,0,1,3,2,4,2,3,3,3,0,4,3,0,4,1,0,0,4,2,0,3,4,4,2,0,0,2,3",0.08487499529704251,1.6094135274708792
3,4,960.0,5.0,0.0,5.666666666666666,"0,1,4,3,2,2,0,4,3,0,1,3,2,3,4,0,4,1,0,2,1,4,0,1,3,3,4,2,3,3,3,2,0,1,2,4,1,0,1,4,2,0,3,4,4,2,4,0,2,1",0.0827038348214607,1.6092889223859868
3,5,931.0,6.0,0.0,7.555555555555555,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,3,0,3,0,4,1,0,4,2,1,0,1,4,4,2,4,0,2,0",0.07122318893555084,1.6091776787576806
3,6,903.0,7.0,0.0,9.444444444444445,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,0,4,1,0,4,2,1,0,1,4,4,2,4,0,2,3",0.0677605850574345,1.6090792244367
3,7,901.0,10.0,0.0,13.22222222222222,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,3,1,2,2,4,2,3,3,3,0,0,3,0,4,1,1,1,1,4,0,1,4,4,2,4,0,2,3",0.06064088470199258,1.6089327348139795
3,8,898.0,15.0,0.0,15.11111111111111,"0,1,0,3,2,0,3,4,3,0,1,2,2,3,4,0,4,4,1,2,1,4,0,1,2,2,4,2,3,3,3,0,0,3,2,4,1,1,3,1,4,0,3,4,4,2,4,0,2,3",0.034784759556178727,1.6081475156138074
3,9,897.0,16.0,0.0,17.0,"0,2,0,3,2,0,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,2,4,2,3,3,3,0,0,3,0,4,1,1,4,2,1,0,1,4,4,2,4,0,2,3",0.04516334771633423,1.608041119599523
4,1,1105.0,0.0,0.0,0.0,"0,1,3,3,2,2,0,4,2,0,1,4,2,4,4,0,4,4,0,2,1,1,0,1,3,2,4,2,3,3,3,3,4,3,0,4,0,1,3,2,0,4,0,4,4,2,4,1,3,1",0.10323315507145496,1.6094379124341005
4,2,1092.0,1.0,0.0,1.8888888888888888,"4,1,0,3,2,2,0,4,2,0,1,3,2,4,4,2,4,4,0,2,1,4,3,1,2,1,4,0,3,3,3,3,0,1,1,4,0,0,1,4,3,0,1,3,4,2,2,0,3,3",0.08961385956385372,1.6094273457155068
4,3,995.0,3.0,0.0,3.7777777777777777,"0,1,4,3,2,0,2,4,3,2,1,4,2,3,3,0,0,4,1,2,1,4,3,1,0,2,4,1,3,3,3,0,4,1,0,4,2,1,1,2,4,0,3,4,4,2,4,0,2,3",0.09320891839857867,1.6093776985944834
4,4,940.0,5.0,0.0,5.666666666666666,"0,1,0,3,2,2,2,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,0,2,4,2,3,3,3,0,4,3,2,4,1,0,3,4,2,0,1,4,4,2,3,0,2,1",0.07997851024697564,1.6093102759488451
4,5,922.0,7.0,0.0,7.555555555555555,"0,1,4,3,2,2,0,4,3,0,1,3,2,3,4,0,4,1,1,2,1,4,0,1,2,2,4,2,3,3,3,0,0,3,0,4,1,0,4,2,1,0,3,4,4,2,4,0,2,3",0.06140377395430742,1.6092055666907192
4,6,902.0,8.0,0.0,11.333333333333332,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,0,4,1,0,1,4,1,0,1,4,4,2,4,0,2,3",0.07110794200761046,1.6090094483791413
4,7,895.0,14.0,0.0,15.11111111111111,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,1,1,4,0,1,4,4,2,4,0,2,3",0.04255572582840665,1.6085446988186585
5,1,1132.0,0.0,0.0,0.0,"1,1,0,3,2,3,0,4,2,2,1,4,2,3,4,0,4,4,1,2,1,4,3,3,0,2,0,1,3,3,3,2,4,3,0,4,0,0,1,4,3,2,1,3,4,0,4,2,2,3",0.09469251845308785,1.6094379124341005
5,2,1046.0,1.0,0.0,1.8888888888888888,"3,1,0,3,2,0,3,4,4,0,1,3,2,4,4,0,4,4,1,2,1,4,0,3,2,3,4,0,0,3,3,3,0,3,0,4,2,2,3,1,0,0,1,4,4,2,2,0,2,1",0.10165884776666907,1.6094306974486625
5,3,985.0,3.0,0.0,3.7777777777777777,"0,1,0,3,2,2,2,4,3,0,1,4,2,3,3,0,0,4,1,2,1,4,0,3,4,2,4,2,3,3,3,3,4,1,0,4,1,0,1,2,0,0,3,4,4,2,4,0,2,1",0.09160083456368762,1.6093742851361115
5,4,923.0,5.0,0.0,7.555555555555555,"0,1,0,3,2,2,0,4,3,0,1,2,2,3,4,0,4,4,1,2,1,4,3,3,2,3,4,2,0,3,3,0,0,3,0,4,1,4,3,1,0,0,1,4,4,2,4,0,2,3",0.06958929974678144,1.6093196022143132
5,5,902.0,8.0,0.0,13.22222222222222,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,2,0,1,4,4,2,4,0,2,3",0.06302172079062328,1.6090172118961488
5,6,900.0,12.0,0.0,15.11111111111111,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,0,4,1,2,0,1,4,2,2,4,0,2,3",0.04563070802673949,1.6087998790827371
5,7,896.0,16.0,0.0,17.0,"0,2,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,0,3,2,4,1,0,1,1,4,0,1,4,4,2,4,0,2,3",0.0417173123396548,1.608083818051726
