Custo Total,Equilibrio,Robustez (Norm 0-100),Estabilidade (Norm 0-100),Score_Global,origem,phi,phi_plus,phi_minus
930.0,2.0,83.8199908470547,1.7791689736818013,0.7549465702096202,Pw,0.27428125298974537,0.5380684210526315,0.41187894736842107
951.0,2.0,100.0,1.1461223138897183,0.7518084209643172,Pw,0.2676746229996338,0.5414421052631578,0.4085052631578948
966.0,0.0,88.55066623905907,0.0,0.7463546819294713,Pw,0.25619306713680007,0.528257894736842,0.3843578947368421
909.0,3.0,68.67840772118832,2.6165743855429544,0.7414762029858418,Pw,0.2459225851502119,0.5415157894736842,0.45848421052631577
921.0,5.0,66.65498610400266,11.947592691405106,0.6947375603790441,Pe,0.1475254428201114,0.48231052631578947,0.5010052631578947
980.0,2.0,90.45206681121076,1.5791172676408456,0.69408165079343,Pe,0.14614458053460783,0.479657894736842,0.4702894736842106
935.0,5.0,68.02629973581658,10.244778361248857,0.6748572301135959,Pe,0.10567211594548365,0.44403157894736833,0.5392842105263158
903.0,7.0,52.62210808921415,22.661562413718517,0.6722082342471006,Pe,0.10009528254233575,0.5039052631578947,0.4960947368421053
902.0,8.0,46.30022403161329,26.57945503438207,0.6488635979534846,Pe,0.05094867981893377,0.505021052631579,0.4949789473684211
1004.0,2.0,72.88945244248343,1.756433407777203,0.6294324760653431,Pe,0.010041054791267103,0.4111315789473684,0.5388157894736841
1046.0,1.0,97.84410106815189,0.4558358350487473,0.628994456401993,Pe,0.009118908131583073,0.4953263157894736,0.4879894736842106
901.0,10.0,43.1240685510928,31.91663577079528,0.6140195739638618,Pe,-0.02240716015921993,0.5061368421052632,0.49386315789473684
1105.0,0.0,99.94430645314122,0.0,0.5656828732141044,Pe,-0.12416863542186693,0.47123157894736833,0.4595315789473685
1074.0,1.0,81.97428382176182,0.6675951095637908,0.5615410678766413,Pe,-0.13288822560599967,0.42679999999999996,0.5565157894736842
900.0,12.0,23.099735444606075,40.31033298784193,0.5538429592710425,Pe,-0.14909477003883911,0.5072526315789475,0.4927473684210526
895.0,14.0,18.99755402675176,56.43237644365247,0.5362705192139683,Pe,-0.18608938068531128,0.5288473684210527,0.47115263157894727
896.0,16.0,17.879068125955,85.55037966877961,0.5309853946813541,Pe,-0.1972159586487095,0.48900526315789483,0.5109947368421052
1128.0,0.0,88.55066623905907,0.0,0.5128946819294712,Pe,-0.23530166970530517,0.40538421052631574,0.5072315789473685
888.0,17.0,0.0,100.0,0.5105999999999999,Pw,-0.24013257903050766,0.5106,0.48939999999999995
1158.0,0.0,88.55066623905907,0.0,0.4696613485961378,Pe,-0.32631921356495436,0.3849052631578947,0.5277105263157896
