run,alt,f1,f2,pen_cap,w1,w2,solucao,f3_robustez,f4_risco,metodo,epsilon,f1_norm,f2_norm,f3_norm,f4_norm,score_ahp,rank_ahp
1,8,900.0,14.0,0.0,,,"0,1,0,3,2,2,3,4,3,0,1,2,2,3,4,0,4,4,0,2,1,4,3,1,2,3,4,2,3,3,3,0,0,3,0,4,1,1,1,4,1,0,1,4,4,2,4,0,2,3",0.0626960389110201,0.0016861146912935,Pe,15.11111111111111,0.05970149253731343,0.8235294117647058,0.5413425202986251,0.09946671280334474,0.2914301890117244,14
3,2,958.0,1.0,0.0,0.6,0.4,"0,1,4,3,2,2,0,4,3,0,1,3,2,4,3,0,4,4,0,2,1,1,0,1,3,2,4,2,3,3,3,0,0,3,0,4,1,1,1,4,2,0,3,4,2,2,4,4,2,3",0.0898046307282311,0.0066027309829909,Pw,,0.3482587064676617,0.058823529411764705,0.17970022631379387,0.7865942617656034,0.2933725343282638,15
3,4,960.0,5.0,0.0,,,"0,1,4,3,2,2,0,4,3,0,1,3,2,3,4,0,4,1,0,2,1,4,0,1,3,3,4,2,3,3,3,2,0,1,2,4,1,0,1,4,2,0,3,4,4,2,4,0,2,1",0.0827038348214607,0.0039434045046641,Pe,5.666666666666666,0.3582089552238806,0.29411764705882354,0.2744284268104416,0.414936931493796,0.3295228682482107,16
5,3,985.0,3.0,0.0,,,"0,1,0,3,2,2,2,4,3,0,1,4,2,3,3,0,0,4,1,2,1,4,0,3,4,2,4,2,3,3,3,3,4,1,0,4,1,0,1,2,0,0,3,4,4,2,4,0,2,1",0.0916008345636876,0.0025404527179518,Pe,3.7777777777777777,0.48258706467661694,0.17647058823529413,0.15573796077455518,0.21886573835559148,0.3337566984446903,17
3,9,897.0,16.0,0.0,,,"0,2,0,3,2,0,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,2,4,2,3,3,3,0,0,3,0,4,1,1,4,2,1,0,1,4,4,2,4,0,2,3",0.0451633477163342,0.0009743987058275,Pe,17.0,0.04477611940298507,0.9411764705882353,0.7752374679273063,0.0,0.36064142949781985,18
5,7,896.0,16.0,0.0,,,"0,2,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,0,3,2,4,1,0,1,1,4,0,1,4,4,2,4,0,2,3",0.0417173123396548,0.0014723808927454,Pe,17.0,0.03980099502487562,0.9411764705882353,0.8212093187404496,0.06959609195079766,0.37626802983927404,19
1,9,896.0,16.0,0.0,,,"0,2,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,0,3,2,4,1,0,1,1,4,0,1,4,4,2,4,0,2,3",0.0417173123396548,0.0014723808927454,Pe,17.0,0.03980099502487562,0.9411764705882353,0.8212093187404496,0.06959609195079766,0.37626802983927404,20
2,7,900.0,12.0,0.0,,,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,0,4,1,2,0,1,4,2,2,4,0,2,3",0.0456307080267394,0.0070029915619231,Pe,17.0,0.05970149253731343,0.7058823529411765,0.76900264555394,0.842533154335344,0.3940181468127876,21
5,6,900.0,12.0,0.0,,,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,0,4,1,2,0,1,4,2,2,4,0,2,3",0.0456307080267394,0.0070029915619231,Pe,15.11111111111111,0.05970149253731343,0.7058823529411765,0.76900264555394,0.842533154335344,0.3940181468127876,22
2,6,900.0,12.0,0.0,,,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,0,4,1,2,0,1,4,2,2,4,0,2,3",0.0456307080267394,0.0070029915619231,Pe,13.22222222222222,0.05970149253731343,0.7058823529411765,0.76900264555394,0.842533154335344,0.3940181468127876,23
4,7,895.0,14.0,0.0,,,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,1,1,4,0,1,4,4,2,4,0,2,3",0.0425557258284066,0.007287432474928,Pe,15.11111111111111,0.03482587064676617,0.8235294117647058,0.8100244597324827,0.8822855319426207,0.4087929097458396,24
2,2,1010.0,1.0,0.0,0.5,0.5,"0,1,4,3,2,2,1,2,3,3,1,3,4,3,4,0,0,4,1,2,1,4,0,1,3,2,4,2,0,3,3,0,0,3,2,4,0,0,1,3,2,0,1,4,4,2,4,0,2,4",0.0897628830218992,0.0061249221729939,Pw,,0.6069651741293532,0.058823529411764705,0.18025716178238155,0.7198175240648736,0.4252374227140415,25
2,1,1048.0,0.0,0.0,0.1,0.9,"0,2,0,3,2,1,3,4,2,0,1,3,2,3,4,0,4,4,4,0,1,3,0,1,2,2,4,1,3,3,4,0,4,3,2,4,1,0,1,3,3,0,1,4,4,2,2,0,2,1",0.1032331550714549,0.0022781869503486,Pw,,0.7960199004975125,0.0,0.0005569354685876577,0.18221247452977501,0.42995166558032827,26
5,2,1046.0,1.0,0.0,,,"3,1,0,3,2,0,3,4,4,0,1,3,2,4,4,0,4,4,1,2,1,4,0,3,2,3,4,0,0,3,3,3,0,3,0,4,2,2,3,1,0,0,1,4,4,2,2,0,2,1",0.101658847766669,0.0026241557145677,Pe,1.8888888888888888,0.7860696517412935,0.058823529411764705,0.02155898931848126,0.23056375005575275,0.440597864844123,27
3,8,898.0,15.0,0.0,,,"0,1,0,3,2,0,3,4,3,0,1,2,2,3,4,0,4,4,1,2,1,4,0,1,2,2,4,2,3,3,3,0,0,3,2,4,1,1,3,1,4,0,3,4,4,2,4,0,2,3",0.0347847595561787,0.0068013827640716,Pe,15.11111111111111,0.04975124378109453,0.8823529411764706,0.913693071075954,0.8143570773551527,0.45001362891568486,28
3,5,888.0,17.0,0.0,1.0,0.0,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,1,0,1,4,4,2,4,0,2,3",0.0283152194992927,0.0081297169565988,Pw,,0.0,1.0,1.0,1.0,0.47458604000000004,29
2,6,888.0,17.0,0.0,1.0,0.0,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,1,0,1,4,4,2,4,0,2,3",0.0283152194992927,0.0081297169565988,Pw,,0.0,1.0,1.0,1.0,0.47458604000000004,30
1,5,888.0,17.0,0.0,1.0,0.0,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,1,0,1,4,4,2,4,0,2,3",0.0283152194992927,0.0081297169565988,Pw,,0.0,1.0,1.0,1.0,0.47458604000000004,31
3,2,1089.0,1.0,0.0,,,"0,1,4,3,3,2,3,4,3,3,1,2,2,3,3,0,2,4,2,0,1,4,0,1,3,4,4,1,0,3,4,0,0,3,0,4,0,1,1,4,0,0,1,4,0,2,2,0,2,1",0.098146525005994,0.0020970803048624,Pe,1.8888888888888888,1.0,0.058823529411764705,0.06841514728310132,0.15690170020234692,0.5624303436800155,32
