===== [Pε] Execução 1 / 5 =====

[GVNS-Pe(eps=7.56)] Iter 0: Novo melhor! F=931.0000 (f1=931.00, f2=7.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=7.56)] Iter 6: Novo melhor! F=930.0000 (f1=930.00, f2=7.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.56)] Iter 23: Novo melhor! F=923.0000 (f1=923.00, f2=7.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.56)] Iter 23: Novo melhor! F=921.0000 (f1=921.00, f2=7.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=7.56)] Iter 25: Novo melhor! F=914.0000 (f1=914.00, f2=7.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=7.56)] Fim. Melhor F=914.0000 (f1=914.00, f2=7.00, P_cap=0.00)

[GVNS-Pe(eps=9.44)] Solução inicial: F=764865.5556 (f1=910.00, f2=19.00, P_cap=668400.00)
[GVNS-Pe(eps=9.44)] Iter 0: Novo melhor! F=950.0000 (f1=950.00, f2=9.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.44)] Iter 0: Novo melhor! F=940.0000 (f1=940.00, f2=9.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.44)] Iter 4: Novo melhor! F=924.0000 (f1=924.00, f2=9.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=9.44)] Iter 10: Novo melhor! F=911.0000 (f1=911.00, f2=7.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.44)] Iter 15: Novo melhor! F=910.0000 (f1=910.00, f2=9.00, P_cap=0.00) (k=3)
[GVNS-Pe(eps=9.44)] Iter 38: Novo melhor! F=904.0000 (f1=904.00, f2=8.00, P_cap=0.00) (k=1)
[GVNS-Pe(eps=9.44)] Iter 39: Novo melhor! F=902.0000 (f1=902.00, f2=8.00, P_cap=0.00) (k=2)
[GVNS-Pe(eps=9.44)] Fim. Melhor F=902.0000 (f1=902.00, f2=8.00, P_cap=0.00)

[GVNS-Pe(eps=11.33)] Solução inicial: F=919976.6667 (f1=910.00, f2=32.00, P_cap=712400.00)
[GVNS-Pe(eps=11.33)] Iter 0: Novo melhor! F=947.0000 (f1=947.00, f2=11.00, P_cap=0.00) (k=1)
