Custo Total,Equilibrio,Robustez (Norm 0-100),Estabilidade (Norm 0-100),Score_Global,origem
951.0,2.0,50.000000000000014,39.39841190090608,0.7120849528125421,Pw
901.0,10.0,100.0,28.599734626182748,0.7080436448910734,Pe
930.0,2.0,0.0,74.1460234568136,0.6983666341863031,Pw
1046.0,1.0,50.000000000000014,100.0,0.6674573856209152,Pe
909.0,3.0,0.0,28.599734626182748,0.6546441677668905,Pw
966.0,0.0,0.0,42.144169983902415,0.6448984998637748,Pw
921.0,5.0,0.0,42.144169983902415,0.6165132057461278,Pe
1004.0,2.0,0.0,86.45556464228183,0.6066805045044248,Pe
903.0,7.0,0.0,42.144169983902415,0.6051590880990689,Pe
896.0,16.0,100.0,28.599734626182748,0.6033668475054524,Pe
935.0,5.0,0.0,42.144169983902415,0.5963376501905722,Pe
1105.0,0.0,50.000000000000014,78.04450423449467,0.5744029615337999,Pe
902.0,8.0,0.0,28.599734626182748,0.5714966514270211,Pe
980.0,2.0,0.0,28.599734626182748,0.5709723377015309,Pe
900.0,12.0,0.0,28.599734626182748,0.4997906383551258,Pe
1074.0,1.0,0.0,54.45371116937066,0.4855675335805893,Pe
895.0,14.0,0.0,28.599734626182748,0.4697020762636225,Pe
888.0,17.0,0.0,28.599734626182748,0.423848677570812,Pw
1158.0,0.0,0.0,54.45371116937066,0.38316125907078535,Pe
1128.0,0.0,0.0,0.0,0.36023333333333335,Pe
