run,alt,f1,f2,pen_cap,w1,w2,solucao,f3_robustez,f4_risco,metodo,epsilon,f1_norm,f2_norm,f3_norm,f4_norm,score_ahp,rank_ahp,phi_plus,phi_minus,phi
4,2,951.0,2.0,0.0,0.7,0.3,"0,1,4,3,2,1,3,4,3,0,1,2,2,3,4,0,0,4,0,2,1,4,3,1,0,2,4,2,3,3,3,0,4,3,2,4,1,1,1,4,3,0,1,4,4,2,4,0,2,3",0.1032749027777868,0.003993255500897,Pw,,0.3134328358208955,0.1176470588235294,0.0,0.4219039166768139,0.2043960707112934,1,0.1744460206066323,0.09313868410010329,0.08130733650652902
3,3,930.0,2.0,0.0,0.7,0.3,"0,2,0,3,2,2,2,4,3,0,1,3,2,3,4,0,4,4,4,2,1,4,0,1,3,2,4,2,3,3,3,0,0,3,0,4,1,0,3,1,1,0,1,4,4,2,4,0,2,3",0.0911464191623077,0.0052955438756228,Pw,,0.208955223880597,0.1176470588235294,0.1618000915294522,0.6039067751220578,0.2097128948101944,2,0.13574626222166894,0.060051653560621865,0.07569460866104707
1,2,923.0,3.0,0.0,0.7,0.3,"0,2,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,3,2,3,4,2,0,3,3,0,0,3,0,4,1,1,3,4,0,0,1,4,4,2,4,0,2,1",0.0876758441079646,0.0054565860772461,Pw,,0.1741293532338308,0.1764705882352941,0.2080993140254844,0.626413419268311,0.2132627290113908,3,0.12498572543380375,0.05303318255925813,0.07195254287454561
5,3,909.0,3.0,0.0,0.9,0.0999999999999999,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,2,4,2,3,3,3,0,0,3,2,4,1,1,3,4,1,0,1,4,4,2,4,0,2,3",0.0797963364078083,0.0065355952876287,Pw,,0.1044776119402985,0.1764705882352941,0.3132159227881168,0.7772116329279605,0.2178465012846187,4,0.11813489618449813,0.0510193737805588,0.06711552240393934
2,4,921.0,3.0,0.0,0.8,0.1999999999999999,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,4,2,1,4,0,1,2,3,4,2,3,3,3,0,4,3,0,4,1,1,3,0,1,0,1,4,2,2,4,0,2,3",0.0780232867624182,0.0055566557592165,Pw,,0.1641791044776119,0.1764705882352941,0.3368692997481392,0.6403987765177405,0.2476631429148617,5,0.10002167022670416,0.0642856533069409,0.03573601691976326
4,6,902.0,8.0,0.0,,,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,0,4,1,0,1,4,1,0,1,4,4,2,4,0,2,3",0.0711079420076104,0.0059276421392485,Pe,11.333333333333332,0.0696517412935323,0.4705882352941176,0.4291234882979432,0.6922464186532962,0.2614985499306044,6,0.09683141806763046,0.07567680900513982,0.021154609062490642
4,3,916.0,4.0,0.0,0.9,0.0999999999999999,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,4,3,0,4,1,1,0,4,3,0,1,4,2,2,4,0,2,3",0.0731274278613348,0.0058564362040658,Pw,,0.1393034825870646,0.2352941176470588,0.402182527965687,0.6822949486156044,0.2633900535974803,7,0.09078885070161483,0.07161434282125155,0.019174507880363276
2,5,911.0,7.0,0.0,0.9,0.0999999999999999,"0,2,0,3,2,2,0,4,3,0,1,3,2,3,4,0,0,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,1,1,4,4,0,1,4,4,2,4,0,2,3",0.072564351220644,0.0054954612283185,Pw,,0.1144278606965174,0.4117647058823529,0.4096942544840453,0.631846462175691,0.2688602071864376,8,0.08789179038978234,0.0744799621609627,0.013411828228819644
3,6,903.0,7.0,0.0,,,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,0,4,1,0,4,2,1,0,1,4,4,2,4,0,2,3",0.0677605850574345,0.0062128420923997,Pe,9.444444444444445,0.0746268656716417,0.4117647058823529,0.4737789191078578,0.7321048768176772,0.2735809406604492,9,0.09138097986751474,0.0829460108887345,0.008434968978780238
3,4,903.0,7.0,0.0,0.9,0.0999999999999999,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,0,4,1,0,4,2,1,0,1,4,4,2,4,0,2,3",0.0677605850574345,0.0062128420923997,Pw,,0.0746268656716417,0.4117647058823529,0.4737789191078578,0.7321048768176772,0.2735809406604492,10,0.09138097986751474,0.0829460108887345,0.008434968978780238
4,4,940.0,5.0,0.0,,,"0,1,0,3,2,2,2,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,0,2,4,2,3,3,3,0,4,3,2,4,1,0,3,4,2,0,1,4,4,2,3,0,2,1",0.0799785102469756,0.0023526092992085,Pe,5.666666666666666,0.2587064676616915,0.2941176470588235,0.3107856318477126,0.19261345828083,0.2740960969003611,11,0.09737952943747687,0.08944850942673944,0.007931020010737422
3,7,901.0,10.0,0.0,,,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,3,1,2,2,4,2,3,3,3,0,0,3,0,4,1,1,1,1,4,0,1,4,4,2,4,0,2,3",0.0606408847019925,0.00200213375577,Pe,13.22222222222222,0.0646766169154228,0.5882352941176471,0.5687593144890726,0.1436323324726634,0.2791226417165767,12,0.10490308027152292,0.10228383119105082,0.0026192490804721053
1,1,966.0,0.0,0.0,0.6,0.4,"0,1,4,3,2,2,1,4,3,0,1,3,2,3,2,0,0,4,4,2,1,4,0,1,3,2,4,1,3,3,3,0,0,3,2,4,0,0,3,4,1,0,1,4,4,2,4,0,2,3",0.0946925184530878,0.0061265202490432,Pw,,0.3880597014925373,0.0,0.1144933376094089,0.720040865081065,0.2839574497797799,13,0.1368484396904152,0.13930283765258475,-0.0024543979621695355
1,8,900.0,14.0,0.0,,,"0,1,0,3,2,2,3,4,3,0,1,2,2,3,4,0,4,4,0,2,1,4,3,1,2,3,4,2,3,3,3,0,0,3,0,4,1,1,1,4,1,0,1,4,4,2,4,0,2,3",0.0626960389110201,0.0016861146912935,Pe,15.11111111111111,0.0597014925373134,0.8235294117647058,0.5413425202986251,0.0994667128033447,0.2914301890117244,14,0.10573031507675332,0.11607183081842451,-0.010341515741671192
3,2,958.0,1.0,0.0,0.6,0.4,"0,1,4,3,2,2,0,4,3,0,1,3,2,4,3,0,4,4,0,2,1,1,0,1,3,2,4,2,3,3,3,0,0,3,0,4,1,1,1,4,2,0,3,4,2,2,4,4,2,3",0.0898046307282311,0.0066027309829909,Pw,,0.3482587064676617,0.0588235294117647,0.1797002263137938,0.7865942617656034,0.2933725343282638,15,0.11441220431734783,0.12678545809208405,-0.01237325377473622
3,4,960.0,5.0,0.0,,,"0,1,4,3,2,2,0,4,3,0,1,3,2,3,4,0,4,1,0,2,1,4,0,1,3,3,4,2,3,3,3,2,0,1,2,4,1,0,1,4,2,0,3,4,4,2,4,0,2,1",0.0827038348214607,0.0039434045046641,Pe,5.666666666666666,0.3582089552238806,0.2941176470588235,0.2744284268104416,0.414936931493796,0.3295228682482107,16,0.08288875453065588,0.13330934733166727,-0.050420592801011396
