run,alt,f1,f2,pen_cap,w1,w2,solucao,f3_robustez,f4_risco,metodo,epsilon
1,1,966.0,0.0,0.0,0.6,0.4,"0,1,4,3,2,2,1,4,3,0,1,3,2,3,2,0,0,4,4,2,1,4,0,1,3,2,4,1,3,3,3,0,0,3,2,4,0,0,3,4,1,0,1,4,4,2,4,0,2,3",0.0946925184530878,0.0061265202490432,Pw,
1,2,923.0,3.0,0.0,0.7,0.3,"0,2,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,3,2,3,4,2,0,3,3,0,0,3,0,4,1,1,3,4,0,0,1,4,4,2,4,0,2,1",0.0876758441079646,0.0054565860772461,Pw,
1,5,888.0,17.0,0.0,1.0,0.0,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,1,0,1,4,4,2,4,0,2,3",0.0283152194992927,0.0081297169565988,Pw,
2,1,1048.0,0.0,0.0,0.1,0.9,"0,2,0,3,2,1,3,4,2,0,1,3,2,3,4,0,4,4,4,0,1,3,0,1,2,2,4,1,3,3,4,0,4,3,2,4,1,0,1,3,3,0,1,4,4,2,2,0,2,1",0.1032331550714549,0.0022781869503486,Pw,
2,2,1010.0,1.0,0.0,0.5,0.5,"0,1,4,3,2,2,1,2,3,3,1,3,4,3,4,0,0,4,1,2,1,4,0,1,3,2,4,2,0,3,3,0,0,3,2,4,0,0,1,3,2,0,1,4,4,2,4,0,2,4",0.0897628830218992,0.0061249221729939,Pw,
2,4,921.0,3.0,0.0,0.8,0.1999999999999999,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,4,2,1,4,0,1,2,3,4,2,3,3,3,0,4,3,0,4,1,1,3,0,1,0,1,4,2,2,4,0,2,3",0.0780232867624182,0.0055566557592165,Pw,
2,5,911.0,7.0,0.0,0.9,0.0999999999999999,"0,2,0,3,2,2,0,4,3,0,1,3,2,3,4,0,0,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,1,1,4,4,0,1,4,4,2,4,0,2,3",0.072564351220644,0.0054954612283185,Pw,
2,6,888.0,17.0,0.0,1.0,0.0,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,1,0,1,4,4,2,4,0,2,3",0.0283152194992927,0.0081297169565988,Pw,
3,2,958.0,1.0,0.0,0.6,0.4,"0,1,4,3,2,2,0,4,3,0,1,3,2,4,3,0,4,4,0,2,1,1,0,1,3,2,4,2,3,3,3,0,0,3,0,4,1,1,1,4,2,0,3,4,2,2,4,4,2,3",0.0898046307282311,0.0066027309829909,Pw,
3,3,930.0,2.0,0.0,0.7,0.3,"0,2,0,3,2,2,2,4,3,0,1,3,2,3,4,0,4,4,4,2,1,4,0,1,3,2,4,2,3,3,3,0,0,3,0,4,1,0,3,1,1,0,1,4,4,2,4,0,2,3",0.0911464191623077,0.0052955438756228,Pw,
3,4,903.0,7.0,0.0,0.9,0.0999999999999999,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,0,4,1,0,4,2,1,0,1,4,4,2,4,0,2,3",0.0677605850574345,0.0062128420923997,Pw,
3,5,888.0,17.0,0.0,1.0,0.0,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,1,0,1,4,4,2,4,0,2,3",0.0283152194992927,0.0081297169565988,Pw,
4,2,951.0,2.0,0.0,0.7,0.3,"0,1,4,3,2,1,3,4,3,0,1,2,2,3,4,0,0,4,0,2,1,4,3,1,0,2,4,2,3,3,3,0,4,3,2,4,1,1,1,4,3,0,1,4,4,2,4,0,2,3",0.1032749027777868,0.003993255500897,Pw,
4,3,916.0,4.0,0.0,0.9,0.0999999999999999,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,4,3,0,4,1,1,0,4,3,0,1,4,2,2,4,0,2,3",0.0731274278613348,0.0058564362040658,Pw,
5,3,909.0,3.0,0.0,0.9,0.0999999999999999,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,2,4,2,3,3,3,0,0,3,2,4,1,1,3,4,1,0,1,4,4,2,4,0,2,3",0.0797963364078083,0.0065355952876287,Pw,
1,8,900.0,14.0,0.0,,,"0,1,0,3,2,2,3,4,3,0,1,2,2,3,4,0,4,4,0,2,1,4,3,1,2,3,4,2,3,3,3,0,0,3,0,4,1,1,1,4,1,0,1,4,4,2,4,0,2,3",0.0626960389110201,0.0016861146912935,Pe,15.11111111111111
1,9,896.0,16.0,0.0,,,"0,2,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,0,3,2,4,1,0,1,1,4,0,1,4,4,2,4,0,2,3",0.0417173123396548,0.0014723808927454,Pe,17.0
2,6,900.0,12.0,0.0,,,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,0,4,1,2,0,1,4,2,2,4,0,2,3",0.0456307080267394,0.0070029915619231,Pe,13.22222222222222
2,7,900.0,12.0,0.0,,,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,0,4,1,2,0,1,4,2,2,4,0,2,3",0.0456307080267394,0.0070029915619231,Pe,17.0
3,2,1089.0,1.0,0.0,,,"0,1,4,3,3,2,3,4,3,3,1,2,2,3,3,0,2,4,2,0,1,4,0,1,3,4,4,1,0,3,4,0,0,3,0,4,0,1,1,4,0,0,1,4,0,2,2,0,2,1",0.098146525005994,0.0020970803048624,Pe,1.8888888888888888
3,4,960.0,5.0,0.0,,,"0,1,4,3,2,2,0,4,3,0,1,3,2,3,4,0,4,1,0,2,1,4,0,1,3,3,4,2,3,3,3,2,0,1,2,4,1,0,1,4,2,0,3,4,4,2,4,0,2,1",0.0827038348214607,0.0039434045046641,Pe,5.666666666666666
3,6,903.0,7.0,0.0,,,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,0,4,1,0,4,2,1,0,1,4,4,2,4,0,2,3",0.0677605850574345,0.0062128420923997,Pe,9.444444444444445
3,7,901.0,10.0,0.0,,,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,3,1,2,2,4,2,3,3,3,0,0,3,0,4,1,1,1,1,4,0,1,4,4,2,4,0,2,3",0.0606408847019925,0.00200213375577,Pe,13.22222222222222
3,8,898.0,15.0,0.0,,,"0,1,0,3,2,0,3,4,3,0,1,2,2,3,4,0,4,4,1,2,1,4,0,1,2,2,4,2,3,3,3,0,0,3,2,4,1,1,3,1,4,0,3,4,4,2,4,0,2,3",0.0347847595561787,0.0068013827640716,Pe,15.11111111111111
3,9,897.0,16.0,0.0,,,"0,2,0,3,2,0,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,2,4,2,3,3,3,0,0,3,0,4,1,1,4,2,1,0,1,4,4,2,4,0,2,3",0.0451633477163342,0.0009743987058275,Pe,17.0
4,4,940.0,5.0,0.0,,,"0,1,0,3,2,2,2,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,0,2,4,2,3,3,3,0,4,3,2,4,1,0,3,4,2,0,1,4,4,2,3,0,2,1",0.0799785102469756,0.0023526092992085,Pe,5.666666666666666
4,6,902.0,8.0,0.0,,,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,0,4,1,0,1,4,1,0,1,4,4,2,4,0,2,3",0.0711079420076104,0.0059276421392485,Pe,11.333333333333332
4,7,895.0,14.0,0.0,,,"0,2,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,1,1,4,0,1,4,4,2,4,0,2,3",0.0425557258284066,0.007287432474928,Pe,15.11111111111111
5,2,1046.0,1.0,0.0,,,"3,1,0,3,2,0,3,4,4,0,1,3,2,4,4,0,4,4,1,2,1,4,0,3,2,3,4,0,0,3,3,3,0,3,0,4,2,2,3,1,0,0,1,4,4,2,2,0,2,1",0.101658847766669,0.0026241557145677,Pe,1.8888888888888888
