run,alt,f1,f2,f3_robustez,f4_estabilidade,pen_cap,epsilon,solucao,metodo,w1,w2
1,1,1128.0,0.0,0.09469251845308785,1.6094379124341005,0.0,0.0,"0,1,1,3,2,2,3,0,0,0,1,4,2,3,3,0,1,4,0,2,1,4,3,3,0,4,4,2,3,3,3,2,4,3,2,4,0,1,1,0,1,3,1,4,4,2,2,0,2,4",Pe,,
1,2,1074.0,1.0,0.08976288302189925,1.6094273457155066,0.0,1.8888888888888888,"0,1,4,3,2,2,0,4,3,0,1,3,2,2,3,0,0,4,4,2,1,3,0,3,4,2,1,4,3,3,3,2,0,3,1,4,1,0,3,0,3,4,1,4,0,2,4,0,2,1",Pe,,
1,3,980.0,2.0,0.09611780229982823,1.609412918111112,0.0,3.7777777777777777,"0,1,0,3,2,2,2,4,3,0,1,3,2,3,3,0,0,4,1,2,1,4,3,1,0,2,4,1,0,3,3,2,4,3,2,4,1,0,4,4,0,0,3,4,4,2,4,0,2,1",Pe,,
1,4,935.0,5.0,0.07930751832733993,1.6092757577261805,0.0,5.666666666666666,"0,1,0,3,2,2,3,4,3,0,1,2,2,3,4,0,4,4,1,2,1,4,0,1,3,3,4,1,3,3,4,0,0,3,0,4,1,0,3,2,2,0,3,4,4,2,4,0,2,1",Pe,,
1,5,914.0,7.0,0.060087790874109204,1.6091335619843292,0.0,7.555555555555555,"0,2,0,3,2,2,0,4,3,0,1,4,2,3,4,0,4,4,1,2,1,4,3,1,2,2,4,2,3,3,3,0,4,3,0,4,1,0,3,1,1,0,3,4,4,2,4,0,2,3",Pe,,
1,6,902.0,8.0,0.06302172079062328,1.6090172118961488,0.0,9.444444444444445,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,2,0,1,4,4,2,4,0,2,3",Pe,,
1,7,902.0,8.0,0.06302172079062328,1.6090172118961488,0.0,13.22222222222222,"0,1,0,3,2,2,3,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,0,1,2,3,4,2,3,3,3,0,0,3,2,4,1,1,4,1,2,0,1,4,4,2,4,0,2,3",Pe,,
1,8,900.0,14.0,0.06269603891102016,1.6085850196785194,0.0,15.11111111111111,"0,1,0,3,2,2,3,4,3,0,1,2,2,3,4,0,4,4,0,2,1,4,3,1,2,3,4,2,3,3,3,0,0,3,0,4,1,1,1,4,1,0,1,4,4,2,4,0,2,3",Pe,,
1,9,896.0,16.0,0.0417173123396548,1.608083818051726,0.0,17.0,"0,2,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,0,3,2,4,1,0,1,1,4,0,1,4,4,2,4,0,2,3",Pe,,
2,1,1059.0,0.0,0.09469251845308785,1.6094379124341005,0.0,0.0,"0,2,0,3,2,2,2,4,3,3,1,3,1,4,4,0,4,4,0,2,1,4,2,3,3,3,4,1,0,3,3,0,0,3,0,4,0,1,1,4,2,1,1,4,4,2,0,2,2,3",Pe,,
2,2,1004.0,2.0,0.0829529221936069,1.609410111545084,0.0,3.7777777777777777,"0,1,0,3,2,0,3,4,3,3,0,2,2,3,3,0,3,4,4,2,1,4,3,1,0,2,4,2,3,3,3,2,4,3,0,4,1,4,0,1,2,0,1,4,4,2,4,0,2,1",Pe,,
2,3,921.0,5.0,0.0782795859721774,1.609248805521788,0.0,5.666666666666666,"0,1,4,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,3,2,3,4,2,3,3,3,0,0,3,0,4,1,0,1,4,3,0,1,4,2,2,4,0,2,1",Pe,,
2,4,911.0,9.0,0.05923279550567249,1.6088224340491477,0.0,9.444444444444445,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,0,2,1,4,3,1,3,3,4,2,3,3,3,0,4,3,2,4,1,1,1,4,2,0,1,4,2,2,4,0,2,1",Pe,,
2,5,907.0,10.0,0.05035173811589909,1.6090077276291688,0.0,11.333333333333332,"0,1,4,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,0,1,2,2,4,2,3,3,3,0,0,3,0,4,1,0,1,1,4,0,3,4,2,2,4,0,2,3",Pe,,
2,6,900.0,12.0,0.04563070802673949,1.6087998790827371,0.0,13.22222222222222,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,0,4,1,2,0,1,4,2,2,4,0,2,3",Pe,,
2,7,900.0,12.0,0.04563070802673949,1.6087998790827371,0.0,17.0,"0,1,0,3,2,2,0,4,3,0,1,3,2,3,4,0,4,4,1,2,1,4,3,1,2,3,4,2,3,3,3,0,4,3,0,4,1,0,4,1,2,0,1,4,2,2,4,0,2,3",Pe,,
3,1,1158.0,0.0,0.09469251845308785,1.6094379124341005,0.0,0.0,"4,1,0,3,1,1,3,4,2,0,1,3,2,4,4,0,4,4,2,2,1,4,0,1,0,1,2,2,3,3,3,2,0,1,0,3,0,0,3,4,0,0,3,4,4,2,0,1,4,3",Pe,,
3,2,1089.0,1.0,0.09814652500599405,1.6094271445761152,0.0,1.8888888888888888,"0,1,4,3,3,2,3,4,3,3,1,2,2,3,3,0,2,4,2,0,1,4,0,1,3,4,4,1,0,3,4,0,0,3,0,4,0,1,1,4,0,0,1,4,0,2,2,0,2,1",Pe,,
